                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9427,                 2.6512,                 2.0043,                0.01317,                0.80612,                0.04134,                0.01255,                 2.2577,                 3.1723,                 2.2707,                0.00044,                0.00044,                0.00044
                      2,                  1.714,                 2.1898,                 1.8499,                0.25198,                0.12245,                0.10881,                0.02652,                 2.3576,                 3.0765,                  2.672,             0.00088727,             0.00088727,             0.00088727
                      3,                 1.6662,                  2.111,                   1.81,                0.05767,                0.15306,                0.04155,                0.01302,                 2.6051,                 3.2517,                  2.925,              0.0013215,              0.0013215,              0.0013215
                      4,                 1.6488,                 2.0196,                 1.8018,                0.23751,                0.23469,                0.14918,                0.04791,                 2.4262,                 2.8079,                 2.6945,              0.0017428,              0.0017428,              0.0017428
                      5,                 1.6688,                 2.0442,                 1.8136,                0.09289,                0.31633,                0.05575,                0.01465,                 2.6215,                 3.6159,                 3.2077,              0.0018869,              0.0018869,              0.0018869
                      6,                 1.6117,                 1.9707,                 1.7779,                0.14953,                0.41837,                0.11552,                0.03571,                 2.5464,                 3.5498,                 2.7912,              0.0018586,              0.0018586,              0.0018586
                      7,                 1.6144,                 1.9448,                 1.7698,                0.15484,                0.26531,                0.14749,                0.04423,                 2.4877,                 2.7279,                 2.5707,              0.0018303,              0.0018303,              0.0018303
                      8,                 1.6076,                 1.9637,                 1.7615,                0.26982,                0.34315,                0.25219,                0.07378,                 2.4271,                 2.4101,                 2.5187,               0.001802,               0.001802,               0.001802
                      9,                 1.5801,                 1.8915,                 1.7359,                 0.4039,                0.47959,                 0.3523,                0.11384,                 2.3095,                 2.2091,                 2.3567,              0.0017737,              0.0017737,              0.0017737
                     10,                  1.557,                 1.8488,                 1.7186,                0.34116,                0.26531,                0.18779,                0.05634,                 2.5062,                  2.547,                 2.5459,              0.0017454,              0.0017454,              0.0017454
                     11,                 1.5285,                 1.8104,                 1.7153,                0.31308,                0.37671,                0.25932,                0.07267,                 2.4003,                 2.6372,                 2.4134,              0.0017171,              0.0017171,              0.0017171
                     12,                 1.5357,                 1.8167,                 1.7014,                0.29086,                0.20408,                0.17529,                0.05319,                 2.4126,                 2.6584,                 2.5526,              0.0016889,              0.0016889,              0.0016889
                     13,                  1.539,                 1.7989,                 1.7054,                 0.4014,                0.44479,                0.32824,                0.09066,                 2.3415,                 2.3929,                 2.3599,              0.0016606,              0.0016606,              0.0016606
                     14,                  1.503,                 1.7687,                 1.6962,                0.51638,                0.40816,                0.37712,                0.11572,                 2.2583,                  2.121,                 2.3331,              0.0016323,              0.0016323,              0.0016323
                     15,                  1.513,                 1.7204,                 1.6836,                   0.51,                0.43878,                 0.3858,                0.12551,                 2.1646,                 2.1864,                 2.2364,               0.001604,               0.001604,               0.001604
                     16,                 1.4442,                 1.6859,                 1.6485,                0.44278,                0.41837,                0.32693,                0.10172,                 2.2204,                 2.5202,                 2.3603,              0.0015757,              0.0015757,              0.0015757
                     17,                  1.481,                  1.687,                 1.6619,                0.43756,                0.42857,                0.36839,                0.11876,                 2.2977,                 2.3245,                 2.3436,              0.0015474,              0.0015474,              0.0015474
                     18,                 1.4394,                 1.6686,                 1.6357,                0.46372,                 0.4059,                0.35554,                 0.1277,                 2.0772,                 2.0506,                 2.1113,              0.0015191,              0.0015191,              0.0015191
                     19,                   1.42,                 1.6085,                 1.5954,                0.50394,                0.47959,                 0.4775,                0.16537,                 2.1175,                 1.9329,                 2.1351,              0.0014909,              0.0014909,              0.0014909
                     20,                 1.4072,                 1.5724,                 1.5993,                0.49742,                0.44898,                0.40832,                0.14393,                 2.3253,                 2.2355,                 2.3378,              0.0014626,              0.0014626,              0.0014626
                     21,                 1.3892,                 1.5802,                 1.6032,                0.53337,                0.40816,                0.38118,                0.12012,                 2.3335,                 2.1818,                 2.3144,              0.0014343,              0.0014343,              0.0014343
                     22,                 1.3995,                 1.5829,                 1.5902,                0.38689,                0.44898,                0.38904,                0.12382,                 2.2426,                 2.0812,                 2.2232,               0.001406,               0.001406,               0.001406
                     23,                 1.3984,                 1.5158,                 1.5968,                0.50491,                 0.4898,                0.43467,                0.15189,                   2.18,                 1.9496,                 2.2426,              0.0013777,              0.0013777,              0.0013777
                     24,                 1.3795,                 1.4805,                 1.5859,                0.45737,                0.37845,                0.38832,                0.13003,                 2.2361,                 2.2278,                 2.3463,              0.0013494,              0.0013494,              0.0013494
                     25,                 1.3828,                 1.4361,                 1.5641,                0.47136,                0.48224,                0.42998,                 0.1567,                 2.1036,                 2.0037,                 2.1674,              0.0013211,              0.0013211,              0.0013211
                     26,                 1.3687,                 1.4836,                 1.5647,                0.43727,                0.45918,                0.41893,                0.15256,                 2.1915,                 2.0386,                 2.2052,              0.0012929,              0.0012929,              0.0012929
                     27,                 1.3263,                 1.4135,                 1.5312,                0.38545,                0.45442,                0.36343,                0.12473,                 2.3469,                 2.0138,                 2.2875,              0.0012646,              0.0012646,              0.0012646
                     28,                 1.3104,                 1.3861,                 1.5283,                0.48212,                0.45918,                 0.4378,                 0.1573,                 2.2231,                 1.9154,                 2.1894,              0.0012363,              0.0012363,              0.0012363
                     29,                 1.3573,                 1.4089,                 1.5616,                0.48295,                0.39796,                0.42137,                0.14661,                 2.2817,                 1.8766,                 2.3038,               0.001208,               0.001208,               0.001208
                     30,                 1.3411,                    1.4,                  1.543,                0.41584,                0.46939,                0.42033,                 0.1637,                  2.192,                 1.8715,                 2.2036,              0.0011797,              0.0011797,              0.0011797
                     31,                 1.3148,                   1.38,                 1.5139,                0.60085,                0.44898,                0.45085,                0.16374,                 2.1751,                 2.0139,                 2.1705,              0.0011514,              0.0011514,              0.0011514
                     32,                 1.3291,                   1.37,                 1.5311,                0.48145,                0.51162,                0.45632,                0.17088,                 2.2445,                  1.919,                 2.2467,              0.0011231,              0.0011231,              0.0011231
                     33,                 1.2825,                 1.3334,                 1.5128,                0.51576,                0.42857,                0.39719,                0.12188,                 2.4767,                 2.0748,                 2.4198,              0.0010949,              0.0010949,              0.0010949
                     34,                 1.2723,                  1.329,                 1.4988,                0.54352,                0.46939,                0.45925,                0.15627,                 2.3145,                 1.8889,                 2.2693,              0.0010666,              0.0010666,              0.0010666
                     35,                 1.2545,                 1.3163,                 1.4886,                0.48788,                0.49581,                0.44834,                0.14346,                 2.3418,                 1.8957,                 2.2638,              0.0010383,              0.0010383,              0.0010383
                     36,                 1.2813,                 1.2601,                 1.4833,                0.67255,                 0.4898,                0.52231,                0.19793,                 2.2342,                 1.7674,                 2.1901,                0.00101,                0.00101,                0.00101
                     37,                 1.2467,                 1.2468,                 1.4666,                 0.5138,                0.54997,                0.46732,                0.17221,                 2.2709,                 1.8844,                 2.2508,             0.00098171,             0.00098171,             0.00098171
                     38,                 1.2648,                 1.2517,                 1.4687,                0.69121,                 0.4898,                0.53625,                0.17775,                 2.2094,                 1.7571,                 2.2169,             0.00095343,             0.00095343,             0.00095343
                     39,                  1.262,                  1.267,                  1.474,                0.47882,                0.45918,                0.39625,                0.13555,                 2.3163,                 2.0183,                  2.314,             0.00092514,             0.00092514,             0.00092514
                     40,                 1.2672,                 1.2578,                 1.4635,                0.58717,                0.43878,                0.45459,                0.17927,                 2.2014,                 1.8802,                 2.2386,             0.00089686,             0.00089686,             0.00089686
                     41,                 1.2284,                 1.2123,                 1.4411,                0.65991,                0.55442,                0.54999,                0.20783,                 2.1821,                 1.5694,                 2.1891,             0.00086857,             0.00086857,             0.00086857
                     42,                 1.2414,                 1.1982,                  1.455,                0.70705,                0.57143,                0.57956,                0.21106,                 2.1643,                 1.5896,                 2.1664,             0.00084029,             0.00084029,             0.00084029
                     43,                 1.2217,                 1.1939,                 1.4426,                0.47584,                0.52041,                0.43542,                0.15397,                 2.3234,                  1.815,                 2.3467,               0.000812,               0.000812,               0.000812
                     44,                 1.1688,                 1.1583,                 1.4072,                0.59531,                    0.5,                0.46409,                0.16422,                  2.331,                 1.7158,                  2.373,             0.00078371,             0.00078371,             0.00078371
                     45,                 1.1505,                 1.1107,                 1.3981,                0.56682,                0.57417,                0.50964,                0.19259,                 2.2486,                 1.5851,                 2.2249,             0.00075543,             0.00075543,             0.00075543
                     46,                  1.194,                 1.1267,                 1.3985,                0.53385,                0.44898,                0.46273,                0.16074,                 2.3647,                 1.6422,                 2.3131,             0.00072714,             0.00072714,             0.00072714
                     47,                 1.1783,                 1.1008,                 1.3983,                0.62327,                 0.5102,                0.50278,                0.20577,                 2.1774,                 1.6285,                 2.1498,             0.00069886,             0.00069886,             0.00069886
                     48,                 1.1774,                 1.1299,                 1.4011,                0.73306,                0.47641,                 0.5716,                0.21097,                 2.2383,                 1.5353,                  2.149,             0.00067057,             0.00067057,             0.00067057
                     49,                 1.1753,                 1.1234,                 1.3902,                0.63897,                0.65306,                0.62662,                0.24712,                 2.0731,                 1.5027,                  2.049,             0.00064229,             0.00064229,             0.00064229
                     50,                 1.1491,                 1.0843,                 1.3838,                0.56592,                0.53061,                0.47669,                0.19719,                 2.2148,                 1.5766,                 2.1869,               0.000614,               0.000614,               0.000614
                     51,                 1.1463,                 1.0782,                 1.3785,                0.58857,                0.56931,                0.56168,                0.22505,                 2.1124,                 1.5038,                  2.138,             0.00058571,             0.00058571,             0.00058571
                     52,                 1.1234,                 1.0353,                 1.3556,                0.63036,                0.60204,                0.56023,                0.21979,                 2.1641,                 1.5279,                 2.1884,             0.00055743,             0.00055743,             0.00055743
                     53,                  1.105,                 1.0475,                 1.3742,                0.56354,                0.59184,                0.56593,                0.21759,                 2.1969,                 1.5416,                  2.197,             0.00052914,             0.00052914,             0.00052914
                     54,                 1.1164,                 1.0439,                 1.3666,                 0.7092,                0.59728,                 0.6131,                0.23996,                  2.091,                 1.4695,                 2.1137,             0.00050086,             0.00050086,             0.00050086
                     55,                 1.1225,                 1.0226,                 1.3555,                0.72297,                    0.5,                0.55646,                0.23063,                 2.0871,                  1.506,                  2.145,             0.00047257,             0.00047257,             0.00047257
                     56,                 1.1091,                 1.0238,                 1.3589,                0.71323,                0.58374,                0.58116,                0.23517,                 2.1393,                 1.4299,                  2.154,             0.00044429,             0.00044429,             0.00044429
                     57,                 1.0826,                0.99353,                 1.3403,                0.76625,                0.60204,                0.66768,                0.26809,                 2.0899,                 1.3778,                 2.0734,               0.000416,               0.000416,               0.000416
                     58,                 1.0681,                 0.9627,                 1.3211,                0.74968,                0.58163,                0.63008,                0.25672,                 2.1511,                  1.396,                 2.1295,             0.00038771,             0.00038771,             0.00038771
                     59,                 1.0783,                0.99137,                 1.3244,                0.79914,                0.52782,                 0.5983,                 0.2284,                 2.1258,                 1.4699,                 2.1496,             0.00035943,             0.00035943,             0.00035943
                     60,                 1.0874,                0.99442,                 1.3361,                0.70503,                0.65306,                0.65028,                0.26283,                 2.0674,                 1.4084,                 2.1169,             0.00033114,             0.00033114,             0.00033114
                     61,                 1.1401,                 1.0266,                 1.3767,                0.75468,                0.62785,                0.68055,                 0.2727,                 2.0401,                 1.3653,                 2.0777,             0.00030286,             0.00030286,             0.00030286
                     62,                 1.0774,                0.90111,                 1.3186,                0.61751,                0.47959,                0.46733,                0.16727,                 2.4383,                 1.5472,                 2.5672,             0.00027457,             0.00027457,             0.00027457
                     63,                 1.0954,                0.93946,                 1.3419,                 0.6843,                0.56122,                0.58652,                0.24641,                 2.0945,                 1.4049,                 2.1711,             0.00024629,             0.00024629,             0.00024629
                     64,                 1.0309,                0.87948,                 1.2927,                0.65945,                0.63265,                0.62641,                0.24279,                 2.1557,                 1.3946,                 2.2009,               0.000218,               0.000218,               0.000218
                     65,                 1.0005,                0.84526,                 1.2715,                0.69972,                0.59447,                0.58466,                0.21635,                 2.2309,                 1.3721,                 2.2523,             0.00018971,             0.00018971,             0.00018971
                     66,                 1.0422,                 0.8875,                 1.3201,                0.76109,                0.61224,                0.66813,                0.25251,                 2.1238,                 1.3404,                 2.1556,             0.00016143,             0.00016143,             0.00016143
                     67,                0.98418,                 0.7823,                 1.2594,                0.71389,                0.63265,                0.67797,                0.28917,                 2.0516,                 1.3101,                 2.1005,             0.00013314,             0.00013314,             0.00013314
                     68,                0.98666,                0.83161,                 1.2661,                0.76043,                0.60204,                0.67017,                0.27562,                 2.1077,                 1.2981,                 2.1533,             0.00010486,             0.00010486,             0.00010486
                     69,                0.96615,                0.78097,                 1.2435,                0.73211,                0.65306,                0.67165,                0.27324,                 2.1334,                 1.2854,                 2.1808,             7.6571e-05,             7.6571e-05,             7.6571e-05
                     70,                0.96817,                0.81221,                 1.2605,                0.79267,                0.61224,                 0.6745,                0.27133,                 2.1431,                 1.2624,                 2.1952,             4.8286e-05,             4.8286e-05,             4.8286e-05
