                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.287,                 1.3249,                 1.5927,                0.54938,                0.53496,                0.50838,                 0.1997,                 2.1213,                 1.6995,                  2.265,              0.0010383,              0.0010383,              0.0010383
                     36,                 1.3034,                  1.304,                 1.5945,                0.57258,                0.45112,                0.49395,                0.18469,                 2.1489,                 1.7252,                 2.2951,                0.00101,                0.00101,                0.00101
                     37,                 1.2752,                   1.26,                 1.5783,                  0.572,                0.47733,                0.46956,                0.15345,                 2.2919,                 1.8285,                 2.4429,             0.00098171,             0.00098171,             0.00098171
                     38,                 1.2679,                 1.2503,                 1.5609,                0.57931,                0.59184,                0.57369,                0.23619,                 2.0653,                 1.6387,                 2.2258,             0.00095343,             0.00095343,             0.00095343
                     39,                 1.2703,                 1.2235,                 1.5664,                0.56433,                0.56122,                0.51714,                0.22875,                 2.0869,                 1.7024,                 2.3542,             0.00092514,             0.00092514,             0.00092514
                     40,                 1.2891,                 1.2398,                 1.5893,                0.58985,                0.44898,                 0.4672,                0.16746,                 2.1436,                 1.8595,                 2.3148,             0.00089686,             0.00089686,             0.00089686
                     41,                 1.2376,                 1.2018,                 1.5462,                0.73432,                0.45918,                0.54885,                0.19932,                 2.1303,                 1.7359,                 2.2826,             0.00086857,             0.00086857,             0.00086857
                     42,                 1.2639,                 1.2026,                 1.5586,                0.54145,                0.51812,                0.56958,                0.22344,                 2.0749,                   1.75,                 2.2216,             0.00084029,             0.00084029,             0.00084029
                     43,                 1.2402,                 1.1846,                 1.5428,                 0.7022,                0.46939,                0.56139,                0.22815,                 2.1748,                 1.6373,                 2.3248,               0.000812,               0.000812,               0.000812
                     44,                 1.1812,                 1.1345,                 1.5201,                0.63071,                 0.5102,                0.57833,                0.22793,                  2.168,                 1.6196,                 2.3428,             0.00078371,             0.00078371,             0.00078371
                     45,                 1.1468,                 1.1089,                 1.4927,                0.69888,                0.44999,                0.58008,                0.22759,                 2.1876,                  1.585,                 2.3469,             0.00075543,             0.00075543,             0.00075543
                     46,                 1.1834,                 1.0911,                 1.4928,                0.63506,                0.44898,                0.55219,                0.20352,                 2.2508,                 1.6738,                 2.4405,             0.00072714,             0.00072714,             0.00072714
                     47,                 1.1767,                 1.0592,                 1.4961,                0.60701,                 0.5102,                0.55266,                 0.2211,                 2.2466,                 1.6981,                 2.3699,             0.00069886,             0.00069886,             0.00069886
                     48,                 1.1658,                 1.0689,                  1.493,                0.70819,                0.49533,                0.57677,                0.24332,                 2.1376,                 1.6312,                 2.2734,             0.00067057,             0.00067057,             0.00067057
                     49,                 1.1451,                 1.0851,                 1.4698,                0.60888,                0.56122,                0.56899,                0.24146,                 2.1321,                 1.6146,                 2.2978,             0.00064229,             0.00064229,             0.00064229
                     50,                 1.1668,                 1.0405,                 1.4823,                0.69998,                0.47959,                 0.5644,                0.19279,                 2.3771,                 1.5841,                 2.5311,               0.000614,               0.000614,               0.000614
                     51,                 1.1481,                 1.0387,                 1.4627,                0.71678,                0.57143,                0.64097,                0.26701,                 2.0437,                 1.4436,                 2.2508,             0.00058571,             0.00058571,             0.00058571
                     52,                 1.1373,                 1.0157,                 1.4599,                0.63016,                0.57143,                0.58064,                 0.2288,                  2.189,                 1.6207,                 2.3682,             0.00055743,             0.00055743,             0.00055743
                     53,                 1.1155,                 1.0325,                 1.4702,                0.57613,                0.56122,                0.54193,                0.21001,                 2.1593,                 1.5656,                  2.356,             0.00052914,             0.00052914,             0.00052914
                     54,                 1.1052,                0.98986,                 1.4454,                0.60814,                0.59184,                0.58192,                0.26504,                 2.0676,                 1.5092,                 2.2785,             0.00050086,             0.00050086,             0.00050086
                     55,                 1.0927,                0.96257,                 1.4382,                0.59632,                0.57143,                0.59909,                0.23149,                 2.1695,                 1.5842,                 2.3611,             0.00047257,             0.00047257,             0.00047257
                     56,                 1.0672,                0.96084,                 1.4295,                0.61214,                0.61224,                0.60563,                0.26205,                 2.0701,                 1.4304,                 2.2701,             0.00044429,             0.00044429,             0.00044429
                     57,                 1.0747,                0.94112,                 1.4273,                0.73766,                0.56122,                0.67148,                0.29016,                 2.0175,                 1.3533,                 2.1963,               0.000416,               0.000416,               0.000416
                     58,                 1.0309,                 0.9002,                 1.3824,                0.73805,                0.47959,                0.61878,                0.20516,                 2.2224,                 1.5818,                 2.4121,             0.00038771,             0.00038771,             0.00038771
                     59,                 1.0281,                0.91494,                 1.3798,                0.81451,                0.55102,                0.65615,                0.28615,                  2.061,                 1.4359,                 2.2626,             0.00035943,             0.00035943,             0.00035943
                     60,                 1.0524,                 0.9377,                 1.4061,                0.78484,                0.59559,                0.68905,                0.29749,                 1.9684,                 1.3866,                 2.1961,             0.00033114,             0.00033114,             0.00033114
                     61,                 1.1163,                0.95532,                 1.4777,                0.69382,                0.57143,                0.66358,                0.30827,                 1.9341,                 1.3252,                 2.1428,             0.00030286,             0.00030286,             0.00030286
                     62,                 1.0542,                0.84631,                 1.4174,                0.72431,                0.50938,                0.57741,                0.23283,                 2.2222,                 1.5297,                 2.4795,             0.00027457,             0.00027457,             0.00027457
                     63,                 1.0522,                0.82813,                 1.4205,                0.68619,                0.58014,                0.65324,                 0.2835,                  2.028,                   1.37,                  2.232,             0.00024629,             0.00024629,             0.00024629
                     64,                 1.0156,                0.79865,                 1.3815,                0.67141,                0.60204,                0.69989,                 0.3135,                 1.9565,                 1.3279,                  2.152,               0.000218,               0.000218,               0.000218
                     65,                0.97615,                0.76703,                 1.3524,                0.78244,                0.51383,                0.65935,                0.30141,                   2.03,                 1.3231,                 2.2234,             0.00018971,             0.00018971,             0.00018971
                     66,                0.97932,                0.76455,                 1.3602,                0.60323,                0.64286,                0.64964,                0.31151,                 2.0103,                 1.3345,                 2.2012,             0.00016143,             0.00016143,             0.00016143
                     67,                  0.938,                0.70583,                 1.3215,                0.69586,                0.65306,                0.69736,                0.34586,                 1.8991,                 1.3101,                 2.1114,             0.00013314,             0.00013314,             0.00013314
                     68,                0.92998,                0.74926,                 1.3183,                0.68551,                0.62278,                0.68671,                0.32012,                 1.9686,                 1.2925,                 2.1782,             0.00010486,             0.00010486,             0.00010486
                     69,                0.89949,                0.68754,                 1.2891,                 0.8369,                0.52363,                0.67454,                0.30944,                 2.0045,                  1.322,                  2.212,             7.6571e-05,             7.6571e-05,             7.6571e-05
                     70,                0.89385,                0.71955,                 1.3012,                0.67097,                0.62426,                0.68679,                0.32687,                 1.9671,                 1.3215,                 2.1818,             4.8286e-05,             4.8286e-05,             4.8286e-05
